"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
33844856,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN GORONTALO",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844869,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN JAMBI",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844870,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN KENDARI",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844871,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN LAMPUNG",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844896,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN MAMUJU",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844897,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN MANOKWARI",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844898,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN NATUNA",2,0,0,1,0,1,0,0,50,100,Inf,NA,0,0
33844925,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN NIAS",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844926,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN PALEMBANG",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33845476,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","SEKRETARIAT UTAMA",11,157,137,178,0,70,0,0,636.36,39.33,7.01,87.26,0,0
33849845,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","UNIT DAERAH",302,3809,3112,3007,7,934,0,0,309.27,30.99,7.93,81.7,0,0
33854781,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN BANTEN",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
