"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TOLIKARA","TOTAL",30,71,67,43,0,1,60,0,203.33,2.33,42.25,94.37,60,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TOLITOLI","TOTAL",398,1928,1818,1393,0,131,0,0,32.91,9.4,20.64,94.29,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TORAJA UTARA","TOTAL",30,0,0,7,0,41,1,40,273.33,585.71,Inf,NA,1,40
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TRENGGALEK","TOTAL",461,5769,4565,2936,1076,210,0,0,45.55,5.23,7.99,79.13,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TUBAN","TOTAL",473,8201,6562,4688,6,492,0,84,121.78,10.48,5.77,80.01,0,84
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TULANG BAWANG","TOTAL",437,3410,2310,1646,1,256,0,186,101.14,15.54,12.82,67.74,0,186
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TULANG BAWANG BARAT","TOTAL",455,4858,4552,2751,0,145,0,0,31.87,5.27,9.37,93.7,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TULUNGAGUNG","TOTAL",479,10414,8337,6924,60,479,0,0,100,6.86,4.6,80.06,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN WAJO","TOTAL",483,13153,2537,1962,69,228,0,85,64.8,11.23,3.67,19.29,0,85
NA,"EKSTERNAL","PEMERINTAH KABUPATEN WAKATOBI","TOTAL",454,4802,706,572,21,37,191,0,50.22,6.24,9.45,14.7,191,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN WAROPEN","TOTAL",267,571,554,443,21,36,175,0,79.03,7.76,46.76,97.02,175,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN WAY KANAN","TOTAL",259,536,390,283,31,58,0,0,22.39,18.47,48.32,72.76,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN WONOGIRI","TOTAL",484,14183,8510,7159,49,964,0,477,297.73,13.37,3.41,60,0,477
NA,"EKSTERNAL","PEMERINTAH KABUPATEN WONOSOBO","TOTAL",471,7763,5514,4508,34,449,0,0,95.33,9.89,6.07,71.03,0,0
