"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"INTERNAL","PEMERINTAH KABUPATEN TANA TORAJA","TOTAL",331,974,894,846,1,232,0,0,70.09,27.39,33.98,91.79,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TANAH BUMBU","TOTAL",424,2739,1846,1735,5,349,0,0,82.31,20.06,15.48,67.4,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TANAH DATAR","TOTAL",173,264,155,553,0,337,0,0,194.8,60.94,65.53,58.71,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TANAH LAUT","TOTAL",387,1700,1403,1285,5,473,0,0,122.22,36.67,22.76,82.53,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TANGERANG","TOTAL",438,3486,1973,2192,6,750,0,0,171.23,34.12,12.56,56.6,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TANGGAMUS","TOTAL",412,2310,1970,1751,0,527,0,0,127.91,30.1,17.84,85.28,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TANJUNG JABUNG BARAT","TOTAL",386,1753,1623,1369,8,442,0,0,114.51,32.1,22.02,92.58,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TANJUNG JABUNG TIMUR","TOTAL",343,1087,721,484,0,317,0,0,92.42,65.5,31.55,66.33,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TAPANULI SELATAN","TOTAL",385,1664,1325,1275,0,1036,0,0,269.09,81.25,23.14,79.63,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TAPANULI TENGAH","TOTAL",453,4694,825,622,96,141,0,0,31.13,19.64,9.65,17.58,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TAPANULI UTARA","TOTAL",463,6058,1142,810,27,291,0,0,62.85,34.77,7.64,18.85,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TAPIN","TOTAL",410,2246,1910,1793,5,421,0,0,102.68,23.41,18.25,85.04,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TASIKMALAYA","TOTAL",483,13176,1733,1634,2,443,0,0,91.72,27.08,3.67,13.15,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TEBO","TOTAL",437,3379,1287,1100,4,470,0,0,107.55,42.57,12.93,38.09,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TEGAL","TOTAL",473,8247,1460,1534,6,669,0,0,141.44,43.44,5.74,17.7,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TELUK BINTUNI","TOTAL",161,307,162,283,126,36,0,0,22.36,8.8,52.44,52.77,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TELUK WONDAMA","TOTAL",198,385,269,212,8,48,0,0,24.24,21.82,51.43,69.87,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TEMANGGUNG","TOTAL",446,4067,1556,1409,36,485,0,0,108.74,33.56,10.97,38.26,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TIMOR TENGAH SELATAN","TOTAL",479,10593,2093,1832,2,284,0,0,59.29,15.49,4.52,19.76,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TIMOR TENGAH UTARA","TOTAL",370,1410,1253,960,0,103,0,0,27.84,10.73,26.24,88.87,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TOBA","TOTAL",373,1454,1039,983,2,341,0,0,91.42,34.62,25.65,71.46,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TOJO UNA-UNA","TOTAL",444,3890,1191,821,12,149,0,0,33.56,17.89,11.41,30.62,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TOLIKARA","TOTAL",30,2776,632,461,0,29,0,0,96.67,6.29,1.08,22.77,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TOLITOLI","TOTAL",334,1004,932,1095,5,189,0,0,56.59,17.18,33.27,92.83,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TORAJA UTARA","TOTAL",364,1333,1244,1015,3,207,0,0,56.87,20.33,27.31,93.32,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TRENGGALEK","TOTAL",391,1767,1316,1231,4,414,0,0,105.88,33.52,22.13,74.48,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TUBAN","TOTAL",385,1662,1524,1470,0,750,0,0,194.81,51.02,23.16,91.7,0,0
